Timestamp: 1666160872931815096, Orientation (x, y, z, w): -0.013527569361, 0.0126575464383, 0.699598312378, 0.711932897568, Angular velocity (x, y, z): -0.0458276830614, -0.0146542005241, 0.00479592010379, Linear acceleration (x, y, z): -0.281127393246, 0.0203368738294, 9.927983284
Timestamp: 1666160872981712504, Orientation (x, y, z, w): -0.0133195985109, 0.0131730511785, 0.698420643806, 0.713083088398, Angular velocity (x, y, z): 0.00239796005189, -0.0343707613647, -0.0663435608149, Linear acceleration (x, y, z): -1.16518330574, 0.349315732718, 9.29754066467
Timestamp: 1666160873031753208, Orientation (x, y, z, w): -0.0142677389085, 0.0115017667413, 0.698734343052, 0.712786257267, Angular velocity (x, y, z): -0.0436961613595, -0.027176881209, 0.017052160576, Linear acceleration (x, y, z): -0.486888706684, -0.613695085049, 9.80835533142
Timestamp: 1666160873081717496, Orientation (x, y, z, w): -0.0133606670424, 0.0116311628371, 0.697577595711, 0.713933765888, Angular velocity (x, y, z): 0.049824282527, -0.0519558005035, -0.064212039113, Linear acceleration (x, y, z): -0.888841032982, -0.388793200254, 9.05708694458
Timestamp: 1666160873131744472, Orientation (x, y, z, w): -0.0112510677427, 0.011105616577, 0.696871399879, 0.714667677879, Angular velocity (x, y, z): 0.010124720633, -0.0487585216761, -0.0412982031703, Linear acceleration (x, y, z): 0.143554404378, 0.645994842052, 9.15518283844
Timestamp: 1666160873181877208, Orientation (x, y, z, w): -0.0098043102771, 0.010732229799, 0.696624338627, 0.714935600758, Angular velocity (x, y, z): -0.00319728022441, -0.0293084010482, -0.0151870809495, Linear acceleration (x, y, z): 0.130395248532, 0.723753511906, 10.4687051773
Timestamp: 1666160873231745592, Orientation (x, y, z, w): -0.0104914195836, 0.0095602767542, 0.696003377438, 0.715547025204, Angular velocity (x, y, z): -0.0173186007887, -0.0373015999794, -0.0346372015774, Linear acceleration (x, y, z): -0.76801609993, -0.704612910748, 10.1600637436
Timestamp: 1666160873281741336, Orientation (x, y, z, w): -0.00997813045979, 0.00814068131149, 0.694528102875, 0.717003881931, Angular velocity (x, y, z): 0.0253118015826, -0.0530215613544, -0.0820635259151, Linear acceleration (x, y, z): -0.21652790904, -0.89721506834, 8.87764358521
Timestamp: 1666160873331764376, Orientation (x, y, z, w): -0.00893157627434, 0.00714746071026, 0.693511247635, 0.718011856079, Angular velocity (x, y, z): 0.00639456044883, -0.0423639602959, -0.0572846010327, Linear acceleration (x, y, z): 0.0478514693677, -0.0885252207518, 9.29036331177
Timestamp: 1666160873381740024, Orientation (x, y, z, w): -0.00845396239311, 0.00550225097686, 0.693744778633, 0.717806458473, Angular velocity (x, y, z): -0.0482256412506, -0.0277097616345, 0.0117233600467, Linear acceleration (x, y, z): 0.437840938568, 0.294286549091, 9.9758348465
Timestamp: 1666160873431773688, Orientation (x, y, z, w): -0.0110182808712, 0.0054532350041, 0.693649172783, 0.717864394188, Angular velocity (x, y, z): -0.0484920814633, 0.0460941232741, -0.00452948035672, Linear acceleration (x, y, z): -0.681883454323, -0.586180508137, 9.99856472015
